squadra,avversario,home/away,punti,numero della giornata,punti cumulativi,punti avversario,punti cumulativi before match,punti avversario before match,differenza punti before match
Stoke,West Brom,home,3,136,17,11,14,11,3
West Brom,Stoke,away,0,136,11,17,11,14,-3
Sunderland,West Ham,home,0,137,15,17,15,14,1
West Ham,Sunderland,away,3,137,17,15,14,15,-1
Tottenham,Blackburn,home,3,138,15,13,12,13,-1
Blackburn,Tottenham,away,0,138,13,15,13,12,1
Wigan,Everton,home,3,139,16,19,13,19,-6
Everton,Wigan,away,0,139,19,16,19,13,6
Aston Villa,Fulham,home,1,140,25,19,24,18,6
Fulham,Aston Villa,away,1,140,19,25,18,24,-6
Middlesbrough,Newcastle,home,1,141,19,15,18,14,4
Newcastle,Middlesbrough,away,1,141,15,19,14,18,-4
Stoke,Hull,home,1,142,18,23,17,22,-5
Hull,Stoke,away,1,142,23,18,22,17,5
Sunderland,Bolton,home,0,143,15,20,15,17,-2
Bolton,Sunderland,away,3,143,20,15,17,15,2
Wigan,West Brom,home,3,144,19,11,16,11,5
West Brom,Wigan,away,0,144,11,19,11,16,-5
Chelsea,Arsenal,home,0,145,33,26,33,23,10
Arsenal,Chelsea,away,3,145,26,33,23,33,-10
Man City,Man United,home,0,146,17,28,17,25,-8
Man United,Man City,away,3,146,28,17,25,17,8
Portsmouth,Blackburn,home,3,147,22,13,19,13,6
Blackburn,Portsmouth,away,0,147,13,22,13,19,-6
Tottenham,Everton,home,0,148,15,22,15,19,-4
Everton,Tottenham,away,3,148,22,15,19,15,4
Liverpool,West Ham,home,1,149,34,18,33,17,16
West Ham,Liverpool,away,1,149,18,34,17,33,-16
Arsenal,Wigan,home,3,150,29,19,26,19,7
Wigan,Arsenal,away,0,150,19,29,19,26,-7
Blackburn,Liverpool,home,0,151,13,37,13,34,-21
Liverpool,Blackburn,away,3,151,37,13,34,13,21
Bolton,Chelsea,home,0,152,20,36,20,33,-13
Chelsea,Bolton,away,3,152,36,20,33,20,13
Fulham,Man City,home,1,153,20,18,19,17,2
Man City,Fulham,away,1,153,18,20,17,19,-2
Hull,Middlesbrough,home,3,154,26,19,23,19,4
Middlesbrough,Hull,away,0,154,19,26,19,23,-4
Man United,Sunderland,home,3,155,31,15,28,15,13
Sunderland,Man United,away,0,155,15,31,15,28,-13
Newcastle,Stoke,home,1,156,16,19,15,18,-3
Stoke,Newcastle,away,1,156,19,16,18,15,3
Everton,Aston Villa,home,0,157,22,28,22,25,-3
Aston Villa,Everton,away,3,157,28,22,25,22,3
West Brom,Portsmouth,home,1,158,12,23,11,22,-11
Portsmouth,West Brom,away,1,158,23,12,22,11,11
West Ham,Tottenham,home,0,159,18,18,18,15,3
Tottenham,West Ham,away,3,159,18,18,15,18,-3
Aston Villa,Bolton,home,3,160,31,20,28,20,8
Bolton,Aston Villa,away,0,160,20,31,20,28,-8
Liverpool,Hull,home,1,161,38,27,37,26,11
Hull,Liverpool,away,1,161,27,38,26,37,-11
Man City,Everton,home,0,162,18,25,18,22,-4
Everton,Man City,away,3,162,25,18,22,18,4
Middlesbrough,Arsenal,home,1,163,20,30,19,29,-10
Arsenal,Middlesbrough,away,1,163,30,20,29,19,10
Stoke,Fulham,home,1,164,20,21,19,20,-1
Fulham,Stoke,away,1,164,21,20,20,19,1
Sunderland,West Brom,home,3,165,18,12,15,12,3
West Brom,Sunderland,away,0,165,12,18,12,15,-3
Tottenham,Man United,home,1,166,19,32,18,31,-13
Man United,Tottenham,away,1,166,32,19,31,18,13
Wigan,Blackburn,home,3,167,22,13,19,13,6
Blackburn,Wigan,away,0,167,13,22,13,19,-6
Chelsea,West Ham,home,1,168,37,19,36,18,18
West Ham,Chelsea,away,1,168,19,37,18,36,-18
Portsmouth,Newcastle,home,0,169,23,19,23,16,7
Newcastle,Portsmouth,away,3,169,19,23,16,23,-7
Blackburn,Stoke,home,3,170,16,20,13,20,-7
Stoke,Blackburn,away,0,170,20,16,20,13,7
Bolton,Portsmouth,home,3,171,23,23,20,23,-3
Portsmouth,Bolton,away,0,171,23,23,23,20,3
Fulham,Middlesbrough,home,3,172,24,20,21,20,1
Middlesbrough,Fulham,away,0,172,20,24,20,21,-1
Hull,Sunderland,home,0,173,27,21,27,18,9
Sunderland,Hull,away,3,173,21,27,18,27,-9
